Product No,Product Name,Product Remark,Unit price,Category name,Sub category Name,
03-02-00208-0,DUTCH LADY PWDR GUM 123 (MADU),1x900G,21.99,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00209-0,DUTCH LADY PWDR GUM 123(BIASA),1x900G,21.99,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00210-0,DUTCH LADY PWDR GUM 456(COKLAT),1x900G,21.99,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00211-0,DUTCH LADY PWDR GUM 456 (MADU),1x900G,21.99,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00212-0,DUTCH LADY PWDR GUM 456 (BIASA),1x900G,21.99,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00213-0,DUTCH LADY PWDR GUM 123 (COKLAT),1x900G,21.99,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00217-0,FERNLEAF FULL CREAM REGULAR,1x550G,17.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00219-0,FERNLEAF FAMILY,1x1.8KG,41.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00224-0,FERNLEAF INSTANT,1x550G,16.4,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00228-0,ANLENE GOLD(REFILL),1x1KG,36.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00229-0,FERNLEAF FAMILY,1x550G,14.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00230-0,FERNLEAF INSTANT,1x1.1KG,28.8,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00231-0,ANLENE REGULAR (REFILL),1x600G,20.7,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00233-0,NESTLE OMEGA PLUS +100G,1x1KG,43.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00236-0,DUTCH LADY FULL CREAM,1x600G,18.2,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00237-0,FRISOLAC LANGKAH 1,1x900G,112,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00239-0,FRISOLAC GOLD LANGKAH 3,1x900G,71.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00240-0,FRISOLAC GOLD LANGKAH 4,1x900G,62.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00252-0,NESTLE OMEGA PLUS,1x600G,28.7,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00260-0,DUGRO 4 (3-6YRS) (FRUIT&VEG),1x850G,28.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00270-0,FRISOLAC LANGKAH 2,1x600G,67.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00271-0,FRISOLAC LANGKAH 1,1x600G,72.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00283-0,DUTCH LADY INS MILK POWDER PLAIN,1x600G,16.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00299-0,DUGRO 3 (1-3YRS) (FRUIT&VEG),1x850G,28.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00300-0,DUGRO 5 (6+YRS) (FRUIT&VEG),1x900G,28.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00304-0,EVERYDAY FMP MILK POWDER,1x550G,18.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00305-0,DUTCH LADY INS MILK POWDER HONEY,1x600G,16.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00306-0,NESTLE OMEGA PLUS +60G,1x600G,29.2,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00310-0,DUGRO 3 (1-3YRS) (HONEY),1x600G,19.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00321-0,FRISO GOLD LANGKAH 3,1x600G,42.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00323-0,FRISO GOLD LANGKAH 4,1x(400G*3),73.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00324-0,FRISO GOLD LANGKAH 3,1x(400G*3),81.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00329-0,DUTCH LADY PWDR GUM 6+ (COKLAT),1x900G,21.99,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
